Segments processed: 50, loss: 1.40249839535, pos_prec: 99.1847826087, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 100, loss: 0.435313234707, pos_prec: 99.5454545455, class_prec: 100.0, rough pos prec: 99.5454545455
Segments processed: 150, loss: 0.945049969435, pos_prec: 95.0, class_prec: 100.0, rough pos prec: 96.25
Segments processed: 200, loss: 0.270949960754, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 250, loss: 0.864343200265, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 300, loss: 0.186323316103, pos_prec: 97.8174603175, class_prec: 100.0, rough pos prec: 98.6111111111
Segments processed: 350, loss: 0.0756734923625, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 400, loss: 0.265806099864, pos_prec: 99.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 450, loss: 0.844506739677, pos_prec: 97.8571428571, class_prec: 100.0, rough pos prec: 98.5714285714
Segments processed: 500, loss: 0.396735577851, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 550, loss: 0.0667240542142, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 600, loss: 3.51762311749, pos_prec: 91.3768115942, class_prec: 100.0, rough pos prec: 94.7826086957
Segments processed: 650, loss: 0.270779793249, pos_prec: 97.0707070707, class_prec: 100.0, rough pos prec: 99.2592592593
Segments processed: 700, loss: 0.415115917008, pos_prec: 97.8666666667, class_prec: 100.0, rough pos prec: 98.6666666667
Segments processed: 750, loss: 1.99666978244, pos_prec: 97.1153846154, class_prec: 100.0, rough pos prec: 97.5961538462
Segments processed: 800, loss: 0.637770463646, pos_prec: 97.7272727273, class_prec: 100.0, rough pos prec: 97.7272727273
Segments processed: 850, loss: 0.439517454182, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 900, loss: 0.000745868763419, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 950, loss: 0.457620117724, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1000, loss: 2.72377709544, pos_prec: 98.4126984127, class_prec: 100.0, rough pos prec: 98.4126984127
Segments processed: 1050, loss: 0.975354425116, pos_prec: 95.0310559006, class_prec: 100.0, rough pos prec: 95.0310559006
Segments processed: 1100, loss: 0.0460448164816, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1150, loss: 0.731554451032, pos_prec: 98.1884057971, class_prec: 100.0, rough pos prec: 98.1884057971
Segments processed: 1200, loss: 1.31368329283, pos_prec: 96.0784313725, class_prec: 100.0, rough pos prec: 96.0784313725
Segments processed: 1250, loss: 0.000533712973828, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1300, loss: 0.550751557762, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1350, loss: 0.954584027719, pos_prec: 95.2380952381, class_prec: 100.0, rough pos prec: 95.2380952381
Segments processed: 1400, loss: 0.650894735155, pos_prec: 97.7777777778, class_prec: 100.0, rough pos prec: 97.7777777778
Segments processed: 1450, loss: 0.0407535413949, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1500, loss: 1.68379748239, pos_prec: 92.7898550725, class_prec: 100.0, rough pos prec: 98.0072463768
Segments processed: 1550, loss: 0.1318258028, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1600, loss: 1.05576896702, pos_prec: 95.8333333333, class_prec: 100.0, rough pos prec: 95.8333333333
Segments processed: 1650, loss: 0.0638598651588, pos_prec: 99.2307692308, class_prec: 100.0, rough pos prec: 99.2307692308
Segments processed: 1700, loss: 1.55615482157, pos_prec: 96.25, class_prec: 100.0, rough pos prec: 96.25
Segments processed: 1750, loss: 0.0179926473986, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1800, loss: 1.61107030358, pos_prec: 94.3223443223, class_prec: 100.0, rough pos prec: 95.6043956044
Segments processed: 1850, loss: 0.0845884902188, pos_prec: 99.0, class_prec: 100.0, rough pos prec: 100.0
Segments processed: 1900, loss: 0.304296010519, pos_prec: 98.4285714286, class_prec: 100.0, rough pos prec: 99.0
Segments processed: 1950, loss: 1.30206534905, pos_prec: 94.2857142857, class_prec: 100.0, rough pos prec: 95.2380952381
Segments processed: 2000, loss: 1.85920478986, pos_prec: 92.5925925926, class_prec: 100.0, rough pos prec: 95.3703703704
Segments processed: 2050, loss: 0.0870731951972, pos_prec: 100.0, class_prec: 100.0, rough pos prec: 100.0
