Words processed: 5000, loss: 0.258283977589, lang_prec: 93.44
Words processed: 10000, loss: 0.242042738178, lang_prec: 93.78
Words processed: 15000, loss: 0.257098235674, lang_prec: 93.36
Words processed: 20000, loss: 0.25329096762, lang_prec: 93.88
Words processed: 25000, loss: 0.248790509953, lang_prec: 93.72
Words processed: 30000, loss: 0.274700116257, lang_prec: 92.94
Words processed: 35000, loss: 0.262345320915, lang_prec: 93.38
Words processed: 40000, loss: 0.26627248419, lang_prec: 93.32
Words processed: 45000, loss: 0.265605851529, lang_prec: 93.26
Words processed: 50000, loss: 0.270732594581, lang_prec: 92.74
Words processed: 55000, loss: 0.252601248815, lang_prec: 93.48
Words processed: 60000, loss: 0.249512143501, lang_prec: 93.9
Words processed: 65000, loss: 0.277520687155, lang_prec: 92.94
Words processed: 70000, loss: 0.264765976251, lang_prec: 92.96
Words processed: 75000, loss: 0.237039662958, lang_prec: 93.9
Words processed: 80000, loss: 0.246032475657, lang_prec: 93.72
Words processed: 85000, loss: 0.255553908499, lang_prec: 93.34
Words processed: 90000, loss: 0.252449539684, lang_prec: 93.48
Words processed: 95000, loss: 0.275336107235, lang_prec: 92.88
Words processed: 100000, loss: 0.274702719201, lang_prec: 92.9
Words processed: 105000, loss: 0.252788006375, lang_prec: 93.34
Words processed: 110000, loss: 0.261499309958, lang_prec: 93.06
Words processed: 115000, loss: 0.274372604402, lang_prec: 92.9
Words processed: 120000, loss: 0.26881246986, lang_prec: 93.18
Words processed: 125000, loss: 0.271619021905, lang_prec: 93.18
Words processed: 130000, loss: 0.261689933411, lang_prec: 93.4
Words processed: 135000, loss: 0.264596187258, lang_prec: 93.22
Words processed: 140000, loss: 0.264064849136, lang_prec: 93.4
Words processed: 145000, loss: 0.28307902508, lang_prec: 92.7
Words processed: 150000, loss: 0.276263981568, lang_prec: 92.56
Words processed: 155000, loss: 0.273526902303, lang_prec: 93.0
Words processed: 160000, loss: 0.254122218382, lang_prec: 93.4
Words processed: 165000, loss: 0.263188526984, lang_prec: 93.38
Words processed: 170000, loss: 0.274722169351, lang_prec: 92.84
Words processed: 175000, loss: 0.274278680443, lang_prec: 92.94
Words processed: 180000, loss: 0.270817967216, lang_prec: 93.06
Words processed: 185000, loss: 0.245499110484, lang_prec: 93.58
Words processed: 190000, loss: 0.257269323991, lang_prec: 93.38
Words processed: 195000, loss: 0.268332467617, lang_prec: 93.16
Words processed: 200000, loss: 0.290817420413, lang_prec: 92.52
Words processed: 205000, loss: 0.283564637584, lang_prec: 92.54
Words processed: 210000, loss: 0.281012024323, lang_prec: 92.7
Words processed: 215000, loss: 0.266025842291, lang_prec: 93.28
Words processed: 220000, loss: 0.264174849851, lang_prec: 93.18
Words processed: 225000, loss: 0.275045923298, lang_prec: 92.94
